Episode,Time Steps,Reward,Total Reward
0,10,-5,0.0
1,49,-5,19.5
2,59,-5,24.5
3,15,-5,2.5
4,35,-5,12.5
5,64,-5,27.0
6,74,-5,32.0
7,44,-5,17.0
8,24,-5,7.0
9,122,-5,56.0
10,11,-5,0.5
11,147,-5,68.5
12,86,-5,38.0
13,84,-5,37.0
14,89,-5,39.5
15,57,-5,23.5
16,62,-5,26.0
17,89,-5,39.5
18,83,-5,36.5
19,170,-5,80.0
20,105,-5,47.5
21,78,-5,34.0
22,120,-5,55.0
23,60,-5,25.0
24,102,-5,46.0
25,84,-5,37.0
26,11,-5,0.5
27,51,-5,20.5
28,65,-5,27.5
29,56,-5,23.0
30,78,-5,34.0
31,55,-5,22.5
32,48,-5,19.0
33,52,-5,21.0
34,82,-5,36.0
35,97,-5,43.5
36,47,-5,18.5
37,60,-5,25.0
38,120,-5,55.0
39,30,-5,10.0
40,68,-5,29.0
41,71,-5,30.5
42,53,-5,21.5
43,75,-5,32.5
44,115,-5,52.5
45,69,-5,29.5
46,13,-5,1.5
47,67,-5,28.5
48,45,-5,17.5
49,65,-5,27.5
50,48,-5,19.0
51,52,-5,21.0
52,71,-5,30.5
53,51,-5,20.5
54,19,-5,4.5
55,75,-5,32.5
56,54,-5,22.0
57,64,-5,27.0
58,45,-5,17.5
59,66,-5,28.0
60,60,-5,25.0
61,26,-5,8.0
62,8,-5,-1.0
63,9,-5,-0.5
64,71,-5,30.5
65,71,-5,30.5
66,54,-5,22.0
67,8,-5,-1.0
68,52,-5,21.0
69,71,-5,30.5
70,72,-5,31.0
71,17,-5,3.5
72,67,-5,28.5
73,17,-5,3.5
74,117,-5,53.5
75,99,-5,44.5
76,53,-5,21.5
77,123,-5,56.5
78,186,-5,88.0
79,97,-5,43.5
80,156,-5,73.0
81,77,-5,33.5
82,91,-5,40.5
83,128,-5,59.0
84,84,-5,37.0
85,146,-5,68.0
86,15,-5,2.5
87,168,-5,79.0
88,130,-5,60.0
89,136,-5,63.0
90,168,-5,79.0
91,179,-5,84.5
92,103,-5,46.5
93,137,-5,63.5
94,133,-5,61.5
95,128,-5,59.0
96,98,-5,44.0
97,74,-5,32.0
98,101,-5,45.5
99,163,-5,76.5
100,105,-5,47.5
101,139,-5,64.5
102,97,-5,43.5
103,98,-5,44.0
104,167,-5,78.5
105,95,-5,42.5
106,103,-5,46.5
107,132,-5,61.0
108,95,-5,42.5
109,32,-5,11.0
110,73,-5,31.5
111,72,-5,31.0
112,52,-5,21.0
113,57,-5,23.5
114,43,-5,16.5
115,110,-5,50.0
116,50,-5,20.0
117,166,-5,78.0
118,98,-5,44.0
119,150,-5,70.0
120,88,-5,39.0
121,97,-5,43.5
122,89,-5,39.5
123,79,-5,34.5
124,51,-5,20.5
125,63,-5,26.5
126,69,-5,29.5
127,49,-5,19.5
128,82,-5,36.0
129,67,-5,28.5
130,67,-5,28.5
131,78,-5,34.0
132,96,-5,43.0
133,46,-5,18.0
134,45,-5,17.5
135,51,-5,20.5
136,66,-5,28.0
137,100,-5,45.0
138,73,-5,31.5
139,120,-5,55.0
140,61,-5,25.5
141,123,-5,56.5
