Episode,Time Steps,Reward,Total Reward
0,163,-5,76.5
1,209,-5,99.5
2,150,-5,70.0
3,144,-5,67.0
4,165,-5,77.5
5,130,-5,60.0
6,134,-5,62.0
7,206,-5,98.0
8,154,-5,72.0
9,93,-5,41.5
10,223,-5,106.5
11,163,-5,76.5
12,139,-5,64.5
13,81,-5,35.5
14,225,-5,107.5
15,164,-5,77.0
16,110,-5,50.0
17,132,-5,61.0
18,130,-5,60.0
19,203,-5,96.5
20,172,-5,81.0
21,190,-5,90.0
22,182,-5,86.0
23,185,-5,87.5
24,144,-5,67.0
25,156,-5,73.0
26,142,-5,66.0
27,146,-5,68.0
28,157,-5,73.5
29,131,-5,60.5
30,150,-5,70.0
31,122,-5,56.0
32,189,-5,89.5
33,132,-5,61.0
34,164,-5,77.0
35,172,-5,81.0
36,137,-5,63.5
37,149,-5,69.5
38,159,-5,74.5
39,161,-5,75.5
40,154,-5,72.0
41,165,-5,77.5
42,139,-5,64.5
43,157,-5,73.5
44,218,-5,104.0
45,178,-5,84.0
46,133,-5,61.5
47,145,-5,67.5
48,184,-5,87.0
49,153,-5,71.5
50,152,-5,71.0
51,122,-5,56.0
52,126,-5,58.0
53,252,-5,121.0
54,151,-5,70.5
55,141,-5,65.5
56,152,-5,71.0
57,143,-5,66.5
58,159,-5,74.5
59,154,-5,72.0
60,129,-5,59.5
61,135,-5,62.5
62,133,-5,61.5
63,160,-5,75.0
64,150,-5,70.0
65,157,-5,73.5
66,124,-5,57.0
67,114,-5,52.0
68,147,-5,68.5
69,123,-5,56.5
70,135,-5,62.5
71,119,-5,54.5
72,160,-5,75.0
73,164,-5,77.0
74,136,-5,63.0
75,186,-5,88.0
76,145,-5,67.5
77,190,-5,90.0
78,119,-5,54.5
79,177,-5,83.5
80,157,-5,73.5
81,173,-5,81.5
82,122,-5,56.0
83,161,-5,75.5
84,161,-5,75.5
85,117,-5,53.5
86,152,-5,71.0
87,130,-5,60.0
88,156,-5,73.0
89,150,-5,70.0
90,165,-5,77.5
91,116,-5,53.0
92,125,-5,57.5
93,159,-5,74.5
94,142,-5,66.0
95,116,-5,53.0
96,172,-5,81.0
97,124,-5,57.0
98,135,-5,62.5
99,178,-5,84.0
100,150,-5,70.0
101,132,-5,61.0
102,147,-5,68.5
103,133,-5,61.5
104,119,-5,54.5
105,179,-5,84.5
106,169,-5,79.5
107,126,-5,58.0
108,135,-5,62.5
109,110,-5,50.0
110,187,-5,88.5
111,115,-5,52.5
112,148,-5,69.0
113,166,-5,78.0
114,115,-5,52.5
115,135,-5,62.5
116,143,-5,66.5
117,145,-5,67.5
118,117,-5,53.5
119,106,-5,48.0
120,149,-5,69.5
121,141,-5,65.5
122,143,-5,66.5
123,174,-5,82.0
124,133,-5,61.5
125,164,-5,77.0
126,106,-5,48.0
127,119,-5,54.5
128,127,-5,58.5
129,121,-5,55.5
130,138,-5,64.0
131,146,-5,68.0
132,187,-5,88.5
133,142,-5,66.0
134,145,-5,67.5
135,115,-5,52.5
136,132,-5,61.0
137,135,-5,62.5
138,174,-5,82.0
139,132,-5,61.0
140,131,-5,60.5
141,138,-5,64.0
142,124,-5,57.0
143,130,-5,60.0
144,147,-5,68.5
145,125,-5,57.5
146,139,-5,64.5
147,135,-5,62.5
148,126,-5,58.0
149,118,-5,54.0
150,142,-5,66.0
151,135,-5,62.5
152,134,-5,62.0
153,120,-5,55.0
154,136,-5,63.0
155,124,-5,57.0
156,145,-5,67.5
157,144,-5,67.0
158,123,-5,56.5
159,163,-5,76.5
160,127,-5,58.5
161,147,-5,68.5
162,141,-5,65.5
163,126,-5,58.0
164,183,-5,86.5
165,133,-5,61.5
166,146,-5,68.0
167,109,-5,49.5
168,143,-5,66.5
169,131,-5,60.5
170,124,-5,57.0
171,112,-5,51.0
172,121,-5,55.5
173,132,-5,61.0
174,121,-5,55.5
175,104,-5,47.0
176,121,-5,55.5
177,146,-5,68.0
178,122,-5,56.0
179,169,-5,79.5
180,108,-5,49.0
181,125,-5,57.5
