Episode,Time Steps,Reward,Total Reward
0,155,-10.5,162.29999999999993
1,61,-14.5,64.9
2,112,-14.5,116.55000000000001
3,146,-13.5,149.19999999999985
4,69,-10.5,69.39999999999993
5,185,-11.5,193.2000000000002
6,125,-12.5,125.5499999999999
7,81,-10.5,78.44999999999993
8,104,-13.5,108.09999999999994
9,109,-14.5,112.24999999999996
10,61,-12.5,66.9
11,78,-14.0,83.60000000000001
12,200,-10.5,214.44999999999993
13,116,-14.0,118.6999999999999
14,138,-13.5,147.04999999999987
15,160,-12.5,168.55000000000004
16,47,-13.0,51.45
17,50,-11.0,55.750000000000014
18,75,-13.0,81.6
19,67,-12.5,72.05000000000001
20,162,-10.5,172.50000000000026
21,115,-11.0,123.99999999999997
22,186,-11.0,198.80000000000035
23,169,-10.5,176.8000000000001
24,95,-10.5,103.5499999999999
25,27,-12.5,22.949999999999996
26,125,-13.0,132.29999999999995
27,66,-12.5,70.50000000000001
28,295,-10.5,316.95000000000056
29,88,-11.0,94.85
30,54,-12.0,60.249999999999986
31,112,-12.5,122.44999999999993
32,97,-10.5,106.3999999999999
33,61,-11.0,67.90000000000002
34,94,-10.5,104.34999999999997
35,116,-10.5,127.5
36,137,-13.5,146.05000000000007
37,118,-10.5,128.94999999999987
38,89,-12.0,98.89999999999998
39,22,-15.0,13.899999999999999
40,32,-10.5,26.5
41,111,-13.0,118.09999999999994
42,109,-15.0,117.5499999999999
43,53,-13.5,48.14999999999998
44,140,-10.5,150.25000000000006
45,90,-12.5,99.99999999999997
46,74,-10.5,72.04999999999995
47,94,-11.0,104.19999999999997
48,87,-14.0,93.54999999999998
49,66,-13.5,73.80000000000003
50,46,-13.0,49.95
51,170,-14.5,194.69999999999985
52,45,-14.0,48.0
53,114,-13.5,126.49999999999989
54,103,-14.0,113.4499999999999
55,45,-14.0,48.10000000000001
56,179,-15.0,200.35000000000008
57,71,-13.0,75.00000000000003
58,147,-13.5,159.29999999999993
