Episode,Time Steps,Reward,Total Reward
0,40,-5,15.0
1,44,-5,17.0
2,43,-5,16.5
3,43,-5,16.5
4,34,-5,12.0
5,15,-5,2.5
6,49,-5,19.5
7,21,-5,5.5
8,15,-5,2.5
9,15,-5,2.5
10,17,-5,3.5
11,43,-5,16.5
12,18,-5,4.0
13,12,-5,1.0
14,45,-5,17.5
15,30,-5,10.0
16,48,-5,19.0
17,25,-5,7.5
18,71,-5,30.5
19,43,-5,16.5
20,22,-5,6.0
21,41,-5,15.5
22,43,-5,16.5
23,59,-5,24.5
24,52,-5,21.0
25,68,-5,29.0
26,50,-5,20.0
27,47,-5,18.5
28,56,-5,23.0
29,53,-5,21.5
30,44,-5,17.0
31,42,-5,16.0
32,45,-5,17.5
33,44,-5,17.0
34,55,-5,22.5
35,51,-5,20.5
36,45,-5,17.5
37,60,-5,25.0
38,53,-5,21.5
39,27,-5,8.5
40,70,-5,30.0
41,66,-5,28.0
42,10,-5,0.0
43,43,-5,16.5
44,43,-5,16.5
45,52,-5,21.0
46,40,-5,15.0
47,50,-5,20.0
48,47,-5,18.5
49,44,-5,17.0
50,47,-5,18.5
51,46,-5,18.0
52,45,-5,17.5
53,39,-5,14.5
54,31,-5,10.5
55,44,-5,17.0
56,26,-5,8.0
57,18,-5,4.0
58,40,-5,15.0
59,27,-5,8.5
60,47,-5,18.5
61,41,-5,15.5
62,42,-5,16.0
63,42,-5,16.0
64,55,-5,22.5
65,47,-5,18.5
66,44,-5,17.0
67,47,-5,18.5
68,49,-5,19.5
69,46,-5,18.0
70,42,-5,16.0
71,48,-5,19.0
72,52,-5,21.0
73,44,-5,17.0
74,46,-5,18.0
75,57,-5,23.5
76,37,-5,13.5
77,42,-5,16.0
78,48,-5,19.0
79,41,-5,15.5
80,55,-5,22.5
81,46,-5,18.0
82,42,-5,16.0
83,27,-5,8.5
84,51,-5,20.5
85,41,-5,15.5
86,48,-5,19.0
87,40,-5,15.0
88,46,-5,18.0
89,43,-5,16.5
90,25,-5,7.5
91,40,-5,15.0
92,47,-5,18.5
93,50,-5,20.0
94,44,-5,17.0
95,50,-5,20.0
96,49,-5,19.5
97,39,-5,14.5
98,44,-5,17.0
99,31,-5,10.5
100,47,-5,18.5
101,43,-5,16.5
102,44,-5,17.0
103,47,-5,18.5
104,46,-5,18.0
105,26,-5,8.0
106,40,-5,15.0
107,49,-5,19.5
108,61,-5,25.5
109,61,-5,25.5
110,77,-5,33.5
111,44,-5,17.0
112,50,-5,20.0
113,73,-5,31.5
114,48,-5,19.0
115,52,-5,21.0
116,23,-5,6.5
117,47,-5,18.5
118,42,-5,16.0
119,50,-5,20.0
120,47,-5,18.5
121,41,-5,15.5
122,61,-5,25.5
123,42,-5,16.0
124,41,-5,15.5
125,59,-5,24.5
126,44,-5,17.0
127,60,-5,25.0
128,45,-5,17.5
129,12,-5,1.0
130,41,-5,15.5
131,42,-5,16.0
132,44,-5,17.0
133,44,-5,17.0
134,40,-5,15.0
135,51,-5,20.5
136,48,-5,19.0
137,41,-5,15.5
138,42,-5,16.0
139,12,-5,1.0
140,49,-5,19.5
141,41,-5,15.5
142,40,-5,15.0
