Episode,Time Steps,Reward,Total Reward
0,18,-5,4.0
1,39,-5,14.5
2,38,-5,14.0
3,11,-5,0.5
4,28,-5,9.0
5,13,-5,1.5
6,22,-5,6.0
7,40,-5,15.0
8,42,-5,16.0
9,19,-5,4.5
10,56,-5,23.0
11,36,-5,13.0
12,55,-5,22.5
13,23,-5,6.5
14,23,-5,6.5
15,14,-5,2.0
16,26,-5,8.0
17,17,-5,3.5
18,44,-5,17.0
19,39,-5,14.5
20,18,-5,4.0
21,41,-5,15.5
22,20,-5,5.0
23,45,-5,17.5
24,25,-5,7.5
25,62,-5,26.0
26,9,-5,-0.5
27,48,-5,19.0
28,40,-5,15.0
29,6,-5,-2.0
30,37,-5,13.5
31,38,-5,14.0
32,22,-5,6.0
33,11,-5,0.5
34,43,-5,16.5
35,14,-5,2.0
36,20,-5,5.0
37,41,-5,15.5
38,26,-5,8.0
39,17,-5,3.5
40,44,-5,17.0
41,48,-5,19.0
42,51,-5,20.5
43,30,-5,10.0
44,49,-5,19.5
45,58,-5,24.0
46,13,-5,1.5
47,19,-5,4.5
48,44,-5,17.0
49,37,-5,13.5
50,9,-5,-0.5
51,15,-5,2.5
52,9,-5,-0.5
53,41,-5,15.5
54,13,-5,1.5
55,48,-5,19.0
56,20,-5,5.0
57,39,-5,14.5
58,27,-5,8.5
59,41,-5,15.5
60,58,-5,24.0
61,17,-5,3.5
62,48,-5,19.0
63,54,-5,22.0
64,37,-5,13.5
65,14,-5,2.0
66,53,-5,21.5
67,45,-5,17.5
68,45,-5,17.5
69,43,-5,16.5
70,17,-5,3.5
71,35,-5,12.5
