Episode,Time Steps,Reward,Total Reward
0,37,-5,13.5
1,35,-5,12.5
2,17,-5,3.5
3,35,-5,12.5
4,34,-5,12.0
5,36,-5,13.0
6,35,-5,12.5
7,37,-5,13.5
8,36,-5,13.0
9,35,-5,12.5
10,40,-5,15.0
11,37,-5,13.5
12,27,-5,8.5
13,34,-5,12.0
14,36,-5,13.0
15,36,-5,13.0
16,36,-5,13.0
17,15,-5,2.5
18,39,-5,14.5
19,35,-5,12.5
20,35,-5,12.5
21,34,-5,12.0
22,39,-5,14.5
23,35,-5,12.5
24,35,-5,12.5
25,36,-5,13.0
26,14,-5,2.0
27,35,-5,12.5
28,35,-5,12.5
29,36,-5,13.0
30,41,-5,15.5
31,34,-5,12.0
32,35,-5,12.5
33,13,-5,1.5
34,8,-5,-1.0
35,37,-5,13.5
36,35,-5,12.5
37,34,-5,12.0
38,38,-5,14.0
39,37,-5,13.5
40,37,-5,13.5
41,35,-5,12.5
42,34,-5,12.0
