Episode,Time Steps,Reward,Total Reward
0,60,-12.1,51.699999999999996
1,18,-15.6,0.9000000000000039
2,59,-14.2,49.79999999999998
3,88,-13.5,65.70000000000002
4,100,-14.899999999999999,69.69999999999999
5,66,-14.899999999999999,33.30000000000002
6,135,-12.8,92.60000000000002
7,41,-11.4,16.30000000000001
8,113,-12.1,83.09999999999998
9,97,-14.2,72.6
10,113,-10.7,86.39999999999992
11,31,-17.0,9.199999999999996
12,152,-11.4,101.30000000000005
13,99,-14.899999999999999,69.70000000000005
14,34,-15.6,13.9
15,42,-11.4,16.299999999999997
16,53,-17.0,44.3
17,20,-14.2,1.6999999999999993
18,28,-11.4,10.4
19,73,-12.1,58.4
20,84,-15.6,62.700000000000024
21,38,-11.4,15.399999999999997
22,10,-14.899999999999999,-6.099999999999998
23,62,-15.6,52.99999999999998
24,47,-17.0,40.49999999999998
25,88,-14.899999999999999,63.90000000000001
26,52,-12.1,25.60000000000001
27,108,-10.7,82.29999999999994
28,14,-14.2,-3.4000000000000004
29,88,-14.2,66.0
30,115,-13.5,82.19999999999989
31,92,-15.6,65.00000000000007
32,72,-10.7,60.99999999999996
33,38,-13.5,16.1
34,27,-16.3,11.299999999999997
35,63,-13.5,52.90000000000002
36,49,-16.3,24.099999999999998
37,23,-17.0,5.599999999999998
38,102,-15.6,70.10000000000007
39,14,-14.2,-3.5
40,28,-13.5,10.0
41,87,-12.8,68.70000000000003
42,93,-14.899999999999999,66.60000000000002
43,121,-10.7,88.49999999999983
44,67,-14.899999999999999,52.49999999999999
45,66,-15.6,53.29999999999999
46,57,-13.5,51.39999999999999
47,66,-17.0,53.499999999999986
48,10,-14.899999999999999,-6.099999999999998
49,117,-14.899999999999999,87.39999999999998
50,115,-10.7,84.89999999999975
51,71,-14.899999999999999,55.700000000000024
52,55,-12.8,49.8
53,80,-16.3,64.20000000000003
54,70,-10.7,61.19999999999993
55,15,-15.6,-2.599999999999998
56,47,-15.6,41.29999999999999
57,20,-12.1,6.6
58,55,-16.3,45.69999999999999
59,13,-14.2,-3.5
60,145,-10.7,95.59999999999991
61,73,-14.2,61.499999999999986
62,109,-12.1,79.79999999999986
63,18,-15.6,4.200000000000005
64,57,-13.5,54.2
65,63,-11.4,58.19999999999998
66,63,-10.7,58.89999999999995
67,79,-10.7,67.59999999999997
68,65,-13.5,56.999999999999986
69,56,-12.1,51.09999999999998
70,42,-17.0,38.49999999999999
71,54,-10.7,52.0
72,51,-15.6,45.19999999999998
73,14,-17.0,-2.3999999999999986
74,54,-15.6,50.699999999999996
75,63,-15.6,49.29999999999999
76,65,-10.7,60.199999999999974
77,52,-14.899999999999999,46.59999999999999
78,56,-13.5,53.499999999999986
79,19,-12.1,1.5
80,80,-12.1,66.39999999999996
81,78,-14.2,64.49999999999997
82,23,-17.0,6.299999999999997
83,54,-13.5,52.49999999999997
84,100,-14.2,75.19999999999992
85,71,-11.4,63.899999999999984
86,44,-16.3,38.999999999999986
87,74,-14.899999999999999,66.69999999999999
88,42,-15.6,39.19999999999999
89,107,-15.6,85.79999999999987
90,99,-12.8,80.4999999999999
91,17,-14.899999999999999,-0.7999999999999972
92,55,-15.6,48.19999999999998
93,54,-17.0,43.59999999999999
94,41,-15.6,38.29999999999998
95,49,-13.5,44.599999999999994
96,45,-14.2,44.69999999999999
97,94,-15.6,77.19999999999986
98,101,-10.7,83.9999999999998
99,142,-14.2,130.6999999999998
100,43,-14.899999999999999,39.9
101,52,-15.6,45.49999999999999
102,57,-14.2,49.39999999999999
103,144,-12.8,132.59999999999982
104,57,-14.2,47.999999999999986
105,188,-14.899999999999999,158.59999999999988
106,138,-16.3,133.59999999999994
107,134,-13.5,126.29999999999995
108,52,-16.3,43.69999999999999
109,46,-15.6,41.49999999999999
110,69,-14.899999999999999,56.399999999999984
111,44,-15.6,39.8
112,68,-15.6,53.50000000000002
113,123,-13.5,122.79999999999998
114,74,-10.7,67.49999999999999
115,127,-14.899999999999999,121.49999999999994
116,134,-12.1,130.29999999999998
117,111,-15.6,111.89999999999999
118,191,-17.0,168.1999999999997
119,117,-15.6,101.79999999999987
120,86,-16.3,74.69999999999993
121,58,-12.8,56.60000000000001
122,249,-12.8,249.49999999999977
123,76,-16.3,65.99999999999994
124,119,-10.7,93.9999999999998
125,74,-14.899999999999999,66.79999999999998
126,78,-15.6,67.99999999999994
127,100,-13.5,108.50000000000003
128,58,-15.6,48.800000000000004
129,27,-16.3,11.399999999999995
130,44,-14.899999999999999,41.49999999999999
131,43,-16.3,39.099999999999994
132,44,-16.3,41.39999999999999
133,48,-14.899999999999999,44.19999999999999
134,122,-13.5,121.59999999999991
135,114,-14.2,116.49999999999996
136,251,-14.899999999999999,232.49999999999972
137,115,-15.6,92.09999999999985
138,120,-16.3,101.69999999999989
139,98,-14.2,78.49999999999982
140,240,-16.3,252.39999999999992
141,82,-14.2,68.6999999999999
142,106,-13.5,109.79999999999995
143,55,-16.3,45.099999999999994
144,75,-13.5,64.59999999999994
145,61,-12.8,57.999999999999986
146,113,-14.899999999999999,113.4
147,295,-13.5,292.70000000000005
148,129,-16.3,102.4
149,72,-14.899999999999999,61.800000000000004
150,208,-12.8,236.60000000000005
151,52,-14.899999999999999,51.799999999999976
152,59,-11.4,59.19999999999998
153,53,-12.8,54.8
154,59,-10.7,57.29999999999998
155,105,-14.899999999999999,111.60000000000002
156,106,-15.6,109.59999999999997
157,220,-17.0,240.0
158,53,-16.3,50.39999999999999
159,131,-14.2,126.10000000000004
160,121,-14.2,120.19999999999997
161,63,-12.1,58.09999999999999
162,59,-14.899999999999999,53.99999999999998
163,323,-17.0,334.2000000000001
164,97,-17.0,85.79999999999995
165,123,-14.2,121.80000000000005
166,88,-14.899999999999999,90.70000000000002
167,318,-17.0,320.0000000000005
168,53,-15.6,50.199999999999996
169,50,-17.0,47.39999999999999
170,49,-15.6,48.29999999999998
171,51,-15.6,49.199999999999996
172,47,-16.3,45.39999999999999
173,54,-15.6,51.00000000000001
174,48,-14.899999999999999,48.09999999999998
175,106,-12.8,113.79999999999998
176,50,-14.899999999999999,49.89999999999997
177,102,-12.1,112.80000000000004
178,55,-14.899999999999999,53.09999999999997
179,53,-16.3,49.3
180,81,-16.3,73.49999999999997
181,54,-14.2,53.49999999999997
182,188,-12.8,155.70000000000007
183,82,-17.0,70.59999999999995
184,177,-10.7,170.1999999999998
185,43,-14.2,41.69999999999999
186,65,-15.6,60.80000000000002
187,111,-12.8,118.2
188,100,-14.899999999999999,110.00000000000003
189,106,-14.2,112.5
190,102,-14.899999999999999,110.00000000000003
191,43,-14.2,41.29999999999998
192,40,-14.899999999999999,39.099999999999994
193,40,-15.6,38.39999999999999
194,41,-14.899999999999999,40.0
195,39,-17.0,35.699999999999996
196,41,-14.2,41.099999999999994
197,40,-16.3,37.599999999999994
198,41,-17.0,37.499999999999986
199,44,-16.3,39.8
200,41,-15.6,38.49999999999999
201,40,-16.3,37.099999999999994
202,42,-17.0,37.199999999999996
203,42,-17.0,38.199999999999996
204,40,-17.0,37.099999999999994
205,98,-16.3,105.80000000000001
206,201,-15.6,232.00000000000003
207,302,-17.0,320.60000000000025
208,90,-16.3,82.2
209,271,-17.0,295.2000000000001
210,110,-16.3,113.30000000000003
211,57,-12.1,56.700000000000024
212,41,-15.6,39.29999999999999
213,113,-10.7,118.3
214,49,-14.2,48.7
215,88,-16.3,82.59999999999997
216,51,-14.899999999999999,50.00000000000002
217,47,-14.899999999999999,47.599999999999994
218,59,-14.899999999999999,54.40000000000001
219,249,-14.2,244.69999999999976
220,102,-14.899999999999999,109.20000000000002
221,81,-15.6,76.79999999999998
222,282,-16.3,301.50000000000006
223,316,-17.0,327.6
224,266,-15.6,302.69999999999993
225,97,-14.899999999999999,106.90000000000003
226,84,-16.3,81.50000000000001
227,99,-12.8,110.50000000000004
228,104,-11.4,115.89999999999999
229,67,-14.899999999999999,62.00000000000001
230,263,-10.7,279.20000000000056
231,230,-10.7,262.1
232,101,-13.5,113.00000000000001
233,242,-10.7,259.3
234,110,-10.7,120.80000000000005
235,270,-16.3,305.49999999999994
236,268,-17.0,302.5999999999998
237,112,-14.899999999999999,116.19999999999999
238,275,-16.3,307.60000000000014
239,106,-13.5,113.5
240,102,-15.6,110.10000000000001
241,50,-16.3,48.7
242,193,-16.3,224.60000000000008
243,107,-14.2,114.39999999999996
244,126,-16.3,132.00000000000003
245,282,-16.3,310.9
246,103,-12.1,114.89999999999998
247,276,-17.0,305.8999999999998
248,80,-16.3,78.89999999999999
249,271,-16.3,305.69999999999993
250,109,-13.5,115.50000000000006
251,105,-12.1,115.00000000000003
252,290,-16.3,314.9000000000002
253,276,-16.3,307.4999999999999
