Episode,Time Steps,Reward,Total Reward
0,85,-5,37.5
1,139,-5,64.5
2,75,-5,32.5
3,88,-5,39.0
4,107,-5,48.5
5,83,-5,36.5
6,94,-5,42.0
7,67,-5,28.5
8,100,-5,45.0
9,101,-5,45.5
10,91,-5,40.5
11,95,-5,42.5
12,94,-5,42.0
13,143,-5,66.5
14,88,-5,39.0
15,96,-5,43.0
16,77,-5,33.5
17,95,-5,42.5
18,96,-5,43.0
19,90,-5,40.0
20,85,-5,37.5
21,108,-5,49.0
22,114,-5,52.0
23,95,-5,42.5
24,103,-5,46.5
25,114,-5,52.0
26,74,-5,32.0
27,109,-5,49.5
28,78,-5,34.0
29,114,-5,52.0
30,88,-5,39.0
31,77,-5,33.5
32,111,-5,50.5
33,85,-5,37.5
34,96,-5,43.0
35,77,-5,33.5
36,75,-5,32.5
37,103,-5,46.5
38,111,-5,50.5
39,93,-5,41.5
40,68,-5,29.0
41,81,-5,35.5
42,92,-5,41.0
43,112,-5,51.0
44,148,-5,69.0
45,78,-5,34.0
46,119,-5,54.5
47,89,-5,39.5
48,102,-5,46.0
49,80,-5,35.0
50,66,-5,28.0
51,78,-5,34.0
52,107,-5,48.5
53,84,-5,37.0
54,107,-5,48.5
55,129,-5,59.5
56,88,-5,39.0
57,82,-5,36.0
58,80,-5,35.0
59,80,-5,35.0
60,124,-5,57.0
61,109,-5,49.5
62,107,-5,48.5
63,89,-5,39.5
64,85,-5,37.5
65,100,-5,45.0
66,85,-5,37.5
67,69,-5,29.5
68,106,-5,48.0
69,101,-5,45.5
70,79,-5,34.5
71,98,-5,44.0
72,96,-5,43.0
73,99,-5,44.5
74,73,-5,31.5
75,73,-5,31.5
76,80,-5,35.0
77,62,-5,26.0
78,113,-5,51.5
79,95,-5,42.5
80,75,-5,32.5
81,75,-5,32.5
82,70,-5,30.0
83,79,-5,34.5
84,72,-5,31.0
85,71,-5,30.5
86,101,-5,45.5
87,84,-5,37.0
88,93,-5,41.5
89,129,-5,59.5
90,123,-5,56.5
91,74,-5,32.0
92,96,-5,43.0
93,119,-5,54.5
94,96,-5,43.0
95,79,-5,34.5
96,83,-5,36.5
97,94,-5,42.0
98,79,-5,34.5
99,80,-5,35.0
100,86,-5,38.0
101,76,-5,33.0
102,75,-5,32.5
103,98,-5,44.0
104,88,-5,39.0
105,9,-5,-0.5
106,83,-5,36.5
107,72,-5,31.0
108,83,-5,36.5
109,104,-5,47.0
110,84,-5,37.0
111,63,-5,26.5
112,88,-5,39.0
113,84,-5,37.0
114,91,-5,40.5
115,8,-5,-1.0
116,95,-5,42.5
117,90,-5,40.0
118,100,-5,45.0
119,67,-5,28.5
120,107,-5,48.5
121,80,-5,35.0
122,103,-5,46.5
123,83,-5,36.5
124,130,-5,60.0
125,72,-5,31.0
126,97,-5,43.5
127,84,-5,37.0
128,99,-5,44.5
129,99,-5,44.5
130,78,-5,34.0
131,87,-5,38.5
